Date,Longitude,Latitude,Wind speed,Air temperature,SST,RH,P,Rs,zu,zt
20070203,255.70763,9.828501,5.90227,27.20549,28.162706,77.02413,1008.5687,198.61792,10.300000190734863,10.300000190734863
20070204,255.68245,12.691335,5.2218995,26.724741,27.81067,76.95418,1009.1429,226.85455,10.300000190734863,10.300000190734863
20070702,242.76375,32.706642,1.3003376,20.798668,23.395632,78.586876,1010.3658,535.19586,30.899999618530273,21.700000762939453
20070703,242.15797,32.94282,4.791773,19.78446,21.398405,86.04126,1009.9215,553.4931,10.300000190734863,10.300000190734863
20070704,240.32921,34.21807,3.739052,15.980705,17.244951,90.2557,1008.3174,331.29675,15.0,20.0
20070705,239.88947,34.376667,5.628625,14.67869,15.112636,91.61297,1007.38184,67.67581,19.799999237060547,19.799999237060547
20070706,240.0537,34.38,4.3218613,14.5056095,16.592093,93.792366,1008.54376,206.33752,19.799999237060547,19.799999237060547
20070707,240.0107,34.229465,4.7171206,13.964859,15.463702,94.547356,1010.58624,290.3921,19.799999237060547,19.799999237060547
20070708,240.05444,34.39409,3.9235103,16.199612,17.42417,89.36378,1008.84564,80.05174,10.300000190734863,10.300000190734863
20070709,241.3524,33.800117,2.852238,17.47425,20.08801,87.69901,1010.51483,97.601204,19.799999237060547,19.799999237060547
20070710,241.4994,33.80362,2.3080018,17.531858,19.869791,83.670105,1011.5142,146.62354,10.300000190734863,10.300000190734863
20070711,240.47433,33.80439,3.3256137,16.747044,18.825354,78.54468,1014.0071,275.1128,10.300000190734863,10.300000190734863
20070712,241.18039,33.79154,6.170259,17.18952,19.582958,80.2776,1013.7415,369.94406,19.799999237060547,19.799999237060547
20070713,241.34879,33.797977,4.435051,18.228174,20.05441,83.48611,1012.8631,354.1351,19.799999237060547,19.799999237060547
20070714,240.36775,34.20247,7.7143383,16.018711,17.88589,91.876366,1011.5703,256.31293,19.799999237060547,19.799999237060547
20070715,239.91815,34.22824,7.8626146,14.514587,16.127167,94.65183,1011.4731,269.00546,19.799999237060547,19.799999237060547
20070716,238.60234,35.186985,10.131623,13.863219,14.161166,93.595726,1010.73724,287.01794,19.799999237060547,19.799999237060547
20070717,237.35782,37.177437,5.010842,13.691046,14.467187,95.57767,1011.4278,47.966824,10.300000190734863,10.300000190734863
20070721,237.61566,37.786556,6.9784393,20.173609,22.878534,71.201965,1013.7824,752.3032,10.300000190734863,10.300000190734863
20070722,237.61566,37.786556,7.3083158,19.323307,22.038286,73.45188,1013.374,373.89807,10.300000190734863,10.300000190734863
20070723,237.72246,36.745586,8.940623,15.202837,15.657647,98.763504,1012.9325,214.78792,19.799999237060547,19.799999237060547
20070724,237.722,36.745354,10.084396,14.737431,15.7752695,97.0349,1010.83716,169.63695,19.799999237060547,19.799999237060547
20070725,237.72203,36.745644,9.298548,13.946826,14.98671,94.83858,1010.3606,185.3283,20.0,20.0
20070726,237.72144,36.745613,8.629329,13.645765,14.900457,92.50754,1011.74567,128.17369,10.300000190734863,10.300000190734863
20070727,237.54855,36.87825,8.673108,13.042459,14.108861,94.13708,1012.4865,119.13348,19.799999237060547,19.799999237060547
20070728,235.30719,40.67637,8.064053,14.217852,13.603128,91.923965,1013.72955,269.2193,15.0,20.0
20070808,230.0013,45.957565,6.6400104,14.438437,16.656172,96.23924,1017.62823,122.60021,10.300000190734863,10.300000190734863
20070809,229.98541,45.979343,5.1681504,14.40965,16.801182,96.443504,1016.911,235.57588,19.799999237060547,19.799999237060547
20070810,230.00383,45.93235,4.422884,14.832707,16.993427,96.57265,1019.39777,267.5458,10.300000190734863,10.300000190734863
20070811,230.01674,45.933666,3.6864202,14.803222,17.224298,92.583885,1017.8723,65.57582,19.799999237060547,19.799999237060547
20070812,229.99007,45.95003,2.916338,14.425977,17.061518,96.66122,1014.4847,159.79355,30.899999618530273,25.5
20070813,229.97531,45.97524,6.310153,15.517697,17.095503,97.610245,1017.53827,209.85956,30.899999618530273,25.5
20070814,230.01659,45.943676,6.1998568,15.395811,17.043417,93.397224,1015.81506,140.69662,30.899999618530273,25.5
20070815,230.01718,45.926483,5.8073916,16.006184,17.108377,97.92894,1009.8835,254.92485,10.300000190734863,10.300000190734863
20070816,230.01239,45.920963,6.7413435,16.15502,17.295729,94.88159,1007.2058,218.80266,10.300000190734863,10.300000190734863
20070817,230.61337,46.675926,4.817437,15.499516,17.087809,92.83238,1008.3764,294.63736,30.899999618530273,25.5
20070818,230.62415,46.696724,3.8625135,15.210191,17.19385,90.47331,1008.5239,226.36327,10.300000190734863,10.300000190734863
20070819,231.03896,47.63821,2.0004072,15.441736,17.342207,88.29097,1007.6618,256.6156,19.799999237060547,19.799999237060547
20070820,234.35811,46.609303,2.5115373,16.428581,18.448318,88.063354,1011.0003,44.977016,19.799999237060547,19.799999237060547
20070825,236.14116,46.190617,0.10765,19.804249,22.53625,70.0285,1014.245,109.4,30.899999618530273,25.5
20070826,235.13945,46.49805,3.6257088,16.120674,17.04994,72.85717,1016.54596,467.8108,30.899999618530273,25.5
20070827,231.07774,47.88601,4.362576,15.328926,17.294445,76.78753,1017.8757,197.18106,10.300000190734863,10.300000190734863
20070828,230.91183,47.95186,7.887963,15.997297,16.97565,92.86556,1015.1943,115.31362,10.300000190734863,10.300000190734863
20070829,230.90315,47.950253,7.4559426,15.948742,16.949331,95.97406,1012.24963,175.91379,19.799999237060547,19.799999237060547
20070830,230.90298,47.94949,4.4967866,15.574552,16.918623,84.28142,1012.2771,126.97883,30.899999618530273,25.5
20070831,231.29102,48.4561,4.9626417,16.115847,17.424665,80.52723,1014.3979,365.7796,30.899999618530273,25.5
20070901,302.38593,33.771454,8.510087,26.039564,26.854652,80.11684,1017.1675,228.20468,19.799999237060547,19.799999237060547
20070901,231.29036,48.45616,3.2511637,15.631092,17.426964,79.326935,1014.6731,111.53893,10.300000190734863,10.300000190734863
20070902,302.38596,33.686455,9.35187,25.772476,26.568077,81.58798,1011.86707,121.30059,10.300000190734863,10.300000190734863
20070902,230.90277,47.94291,10.858185,16.32072,16.974682,88.35859,1005.2668,145.7669,19.799999237060547,19.799999237060547
20070903,230.89505,47.922493,7.166793,15.987586,16.712368,86.52002,1007.28455,61.966503,19.799999237060547,19.799999237060547
20070903,302.38495,33.686638,7.308297,24.823057,26.361725,64.11693,1015.975,272.5371,19.799999237060547,19.799999237060547
20070904,230.89226,47.92246,8.956453,15.780755,16.703604,88.31063,1012.3021,124.42255,10.300000190734863,10.300000190734863
20070904,302.38495,33.686665,4.336381,24.526432,26.358826,64.41068,1016.3322,288.67514,19.799999237060547,19.799999237060547
20070905,232.58185,47.336487,9.779554,15.712159,17.7095,81.60026,1019.1811,83.2934,30.899999618530273,25.5
20070905,302.38495,33.68667,1.5298402,24.837126,26.428732,66.23348,1015.8729,228.38867,19.799999237060547,19.799999237060547
20070906,302.3849,33.68664,3.5329063,24.290695,26.383718,77.112045,1016.6208,108.00504,19.799999237060547,19.799999237060547
20070906,234.79294,46.51497,7.9581776,16.221973,17.621641,90.07132,1017.3712,31.91547,10.300000190734863,10.300000190734863
20070907,302.2226,33.686623,7.425372,24.335318,26.180943,65.524635,1018.9474,278.91425,19.799999237060547,19.799999237060547
20070908,302.38486,33.686604,4.963201,23.783989,26.014524,61.77177,1019.6204,279.76483,19.799999237060547,19.799999237060547
20070908,236.14117,46.190643,3.6112587,19.368309,20.236515,63.33557,1019.72186,596.18665,19.799999237060547,19.799999237060547
20070909,236.14117,46.190643,6.671095,19.149513,20.891438,60.654182,1017.2765,188.83168,19.799999237060547,19.799999237060547
