# date, lon, lat, tau, shf, lhf, L, cd, cdn, ct, ctn, cq, cqn, tsrv, tsr, qsr, usr, psim, psit, psiq, u10n, t10n, tv10n, q10n, zo, zot, zoq, uref, tref, qref, iter, dter, dqer, dtwl, qair, qsea, Rl, Rs, Rnl
2.007020300000000000e+07,2.557076299999999947e+02,9.828500999999999266e+00,4.928834651625497998e-02,7.442931598448159214e+00,1.282947542811176049e+02,-4.870219805791375478e+01,1.212386836524305313e-03,1.122896502129695643e-03,1.255040973572323689e-03,1.122528535211312142e-03,1.255040973572323689e-03,1.122528535211312142e-03,-7.134120273645794263e-02,-3.088911375750927682e-02,-2.197537846830046031e-04,2.073070051543970393e-01,4.783072899862117477e-01,8.724799935397061779e-01,8.724799935397061779e-01,6.186387298256087242e+00,2.714328482345257498e+01,3.035037666584145200e+02,1.693455186357271589e-02,6.544662483418292565e-05,6.519103747935632207e-05,6.519103747935632207e-05,5.891652701038038842e+00,2.720950604544464113e+01,1.740566813687629416e-02,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.999999999999999889e-01,1.739786785031666519e-02,2.349463325726749638e-02,3.700000000000000000e+02,1.986179199999999980e+02,9.450074441145008564e+01
2.007020400000000000e+07,2.556824499999999887e+02,1.269133500000000048e+01,3.826332595610977549e-02,7.703268607141062319e+00,1.158149131362905280e+02,-3.366402280337819519e+01,1.196942135879113835e-03,1.086757926172578345e-03,1.270647712154798640e-03,1.104456966435592548e-03,1.270647712154798640e-03,1.104456966435592548e-03,-7.751029956452006042e-02,-3.620141899596930612e-02,-2.245598318505953128e-04,1.826196544420125578e-01,6.014962622431467842e-01,1.077689680826595886e+00,1.077689680826595886e+00,5.539622483924947716e+00,2.663279733006913830e+01,3.028709941662655183e+02,1.629488303936968766e-02,5.375229842266779221e-05,6.528944647768355081e-05,6.528944647768355081e-05,5.213212364581472080e+00,2.672876932094936819e+01,1.689020374038517625e-02,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.999999999999999889e-01,1.688332728756972850e-02,2.299759023918290443e-02,3.700000000000000000e+02,2.268545499999999890e+02,9.238561821529586382e+01
2.007070200000000000e+07,2.427637499999999875e+02,3.270664199999999511e+01,2.653192527725235002e-03,7.243191214209274698e+00,4.137433275724038850e+01,-9.160476205694020324e-01,1.523472601520781643e-03,1.009234992871189257e-03,2.019988837338978008e-03,1.094610773823228569e-03,2.019988837338978008e-03,1.094610773823228569e-03,-1.730474153633003720e-01,-1.212824411318698947e-01,-2.846111299630905717e-04,5.005271123134581723e-02,3.470605894053913509e+00,4.653978906419358630e+00,4.653978906419358630e+00,1.751313125854411457e+00,1.973616740813054093e+01,2.946483147445387090e+02,9.258725842998770383e-03,3.402143541017438501e-05,9.083571680693532113e-05,9.083571680693532113e-05,1.266530792258056648e+00,2.092729907648242715e+01,1.205393120744101439e-02,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.999999999999999889e-01,1.201942065679822980e-02,1.761838388196161620e-02,3.700000000000000000e+02,5.351958599999999251e+02,6.648238153363155334e+01
2.007070300000000000e+07,2.421579700000000059e+02,3.294282000000000465e+01,3.286623340330795118e-02,1.123375041188762324e+01,5.834126840193702890e+01,-2.677157140384242595e+01,1.186734086213517498e-03,1.062940063043616183e-03,1.278110550148146276e-03,1.089612645443529789e-03,1.278110550148146276e-03,1.089612645443529789e-03,-7.787737303478747819e-02,-5.615891845787859826e-02,-1.195865161160538829e-04,1.671170149989744669e-01,6.870489356061719732e-01,1.216828048170584653e+00,1.216828048170584653e+00,5.125835311670495997e+00,1.962068162080845468e+01,2.950242508337608456e+02,1.201307530913510099e-02,4.695531074779687265e-05,6.340395164121688108e-05,6.340395164121688108e-05,4.784198347616476887e+00,1.978894224658802159e+01,1.237137462452491711e-02,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.999999999999999889e-01,1.236805001509787456e-02,1.559127978645954461e-02,3.700000000000000000e+02,5.534931000000000267e+02,5.513825658194220836e+01
2.007070400000000000e+07,2.403292100000000175e+02,3.421807000000000443e+01,1.876662475841440331e-02,5.988105129140824268e+00,2.492403648679809436e+01,-2.176329323707424024e+01,1.098628018265362244e-03,1.008110470737952737e-03,1.220765669588021705e-03,1.059667338973751443e-03,1.220765669588021705e-03,1.059667338973751443e-03,-5.136882257209687830e-02,-3.936061271639616777e-02,-6.690532318719686396e-05,1.255263033005543649e-01,9.355426837710103527e-01,1.817639386968225024e+00,1.817639386968225024e+00,3.953473237279602426e+00,1.596742949240831422e+01,2.909935765978143536e+02,1.002544405925589154e-02,3.378342185366306369e-05,6.235957213679611420e-05,6.235957213679611420e-05,3.667492533192875825e+00,1.609836316738358164e+01,1.024800563123716597e-02,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.999999999999999889e-01,1.021354811872049115e-02,1.203144564102066709e-02,3.700000000000000000e+02,3.312967499999999745e+02,3.227478991091427218e+01
2.007070500000000000e+07,2.398894700000000171e+02,3.437666699999999764e+01,3.897771362055230809e-02,1.737739990257441747e+00,1.698898721753146290e+01,-1.961338251590494792e+02,1.012779876710098509e-03,1.080002553552907333e-03,1.049176718689910507e-03,1.096558034314837728e-03,1.049176718689910507e-03,1.096558034314837728e-03,-1.353847994606393809e-02,-7.948799205568093246e-03,-3.167103906979928468e-05,1.796615809581575129e-01,2.856313720320351468e-01,5.378892136521334910e-01,5.378892136521334910e-01,5.466908769296877857e+00,1.477702046767529964e+01,2.897126881426444811e+02,9.551877916357946405e-03,5.175378922553632103e-05,6.219412399767505078e-05,6.219412399767505078e-05,5.375402974853081162e+00,1.478338815949297214e+01,9.577249222278210947e-03,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.999999999999999889e-01,9.540382604956145970e-03,1.050104610375670287e-02,3.700000000000000000e+02,6.767580999999999847e+01,2.091181515662249879e+01
2.007070600000000000e+07,2.400536999999999921e+02,3.438000000000000256e+01,2.565249945568354520e-02,1.257548630649074006e+01,3.073759691217081880e+01,-1.849137053099022054e+01,1.115569749045039602e-03,1.033200413609408402e-03,1.243661629354527332e-03,1.072083881300882032e-03,1.243661629354527332e-03,1.072083881300882032e-03,-8.313899381622814888e-02,-7.043474303659627567e-02,-7.026332181736667478e-05,1.464792672815815877e-01,1.151205181225670060e+00,1.933285305075176375e+00,1.933285305075176375e+00,4.557005178973914106e+00,1.438088147973121522e+01,2.892926166450561141e+02,9.428640159246427094e-03,3.940429915695691486e-05,6.188111434852739095e-05,6.188111434852739095e-05,4.190472406804108374e+00,1.463430652677743637e+01,9.681448430697599597e-03,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.999999999999999889e-01,9.648276604142649870e-03,1.153731973445671841e-02,3.700000000000000000e+02,2.063375199999999836e+02,2.876904117148419360e+01
2.007070700000000000e+07,2.400107000000000141e+02,3.422946500000000469e+01,2.954448424907661630e-02,8.958908789329004918e+00,2.250240956292281069e+01,-3.308541227639506133e+01,1.079335802358912227e-03,1.046666293834893399e-03,1.176728870954485548e-03,1.078997626174217888e-03,1.176728870954485548e-03,1.078997626174217888e-03,-5.540226587140140158e-02,-4.677319779032166475e-02,-4.789561384117647154e-05,1.565050317240416766e-01,8.713827457042597757e-01,1.508463772624546451e+00,1.508463772624546451e+00,4.837535752069040740e+00,1.396374450977532433e+01,2.888455976870480413e+02,9.271763640589760630e-03,4.269938850530249235e-05,6.184675710348895529e-05,6.184675710348895529e-05,4.557156031928657924e+00,1.408897171866919962e+01,9.399995925807399025e-03,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.999999999999999889e-01,9.370642212553776870e-03,1.070798540569440835e-02,3.700000000000000000e+02,2.903921000000000276e+02,2.276537697932949555e+01
2.007070800000000000e+07,2.400544399999999996e+02,3.439409000000000560e+01,2.152132001403061004e-02,6.836608788036865114e+00,2.848585845427203012e+01,-2.349235095133957429e+01,1.144246664557400884e-03,1.018385958765237248e-03,1.262630440832030214e-03,1.064910814235802772e-03,1.262630440832030214e-03,1.064910814235802772e-03,-5.478842639720744867e-02,-4.196414893000561391e-02,-7.141869332060252142e-05,1.344120708240710282e-01,7.389423451768932782e-01,1.300002403751044255e+00,1.300002403751044255e+00,4.211923534999752583e+00,1.606924248460109084e+01,2.910955759420956497e+02,1.002297307659772395e-02,3.600611271687696356e-05,6.225905810909704405e-05,6.225905810909704405e-05,3.917587974126082173e+00,1.620363605244915561e+01,1.025169719590286049e-02,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.999999999999999889e-01,1.024982093014511521e-02,1.216317934797844606e-02,3.700000000000000000e+02,8.005173999999999523e+01,3.324131446046813920e+01
2.007070900000000000e+07,2.413523999999999887e+02,3.380011700000000019e+01,1.199229916317383175e-02,1.223147222472034912e+01,4.281840170774894716e+01,-5.207140683676337645e+00,1.206598786831447135e-03,9.885403427562359287e-04,1.439028775283783968e-03,1.052317454360175448e-03,1.439028775283783968e-03,1.052317454360175448e-03,-1.256118706668755414e-01,-9.969359708795559605e-02,-1.429159885303088213e-04,1.015744068804455280e-01,1.889063983057300167e+00,2.977659336943973667e+00,2.977659336943973667e+00,3.256431281913522824e+00,1.699750854281029433e+01,2.920382979634708249e+02,1.007259813800195046e-02,2.984086735803161169e-05,6.451681359198878666e-05,6.451681359198878666e-05,2.784906613185060387e+00,1.759539398524924536e+01,1.092969820791569319e-02,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.999999999999999889e-01,1.089284027481554444e-02,1.436342884017957101e-02,3.700000000000000000e+02,9.760120400000000984e+01,4.781958688198167806e+01
