Input summary
input file name: data_all.csv, 
 method: UA, 
 gustiness: [1, 1, 1000], 
 cskin: 0, 
 tolerance: ['all', 0.01, 0.01, 1e-05, 0.001, 0.1, 0.1]
| var   | mean      | median    | min       | max      | 5%        | 95%      |
|-------|-----------|-----------|-----------|----------|-----------|----------|
| tau   | 7.20e-02  | 4.89e-02  | 4.73e-06  | 6.74e-01 | 6.91e-03  | 2.12e-01 |
| shf   | 6.78e+00  | 6.09e+00  | -4.02e+01 | 5.56e+01 | -8.81e+00 | 2.52e+01 |
| lhf   | 8.21e+01  | 6.62e+01  | -4.14e+01 | 5.46e+02 | -1.57e-01 | 2.12e+02 |
| L     | 8.16e+01  | -4.66e+01 | -1.63e+05 | 3.87e+05 | -5.01e+02 | 2.95e+02 |
| cd    | 1.15e-03  | 1.15e-03  | 1.09e-04  | 4.91e-03 | 8.57e-04  | 1.37e-03 |
| cdn   | 1.15e-03  | 1.12e-03  | 9.70e-04  | 1.78e-03 | 9.87e-04  | 1.42e-03 |
| ct    | 1.17e-03  | 1.18e-03  | 1.68e-04  | 3.02e-03 | 8.80e-04  | 1.42e-03 |
| ctn   | 1.12e-03  | 1.12e-03  | 1.04e-03  | 1.25e-03 | 1.05e-03  | 1.21e-03 |
| cq    | 1.17e-03  | 1.18e-03  | 1.68e-04  | 3.02e-03 | 8.80e-04  | 1.42e-03 |
| cqn   | 1.12e-03  | 1.12e-03  | 1.04e-03  | 1.25e-03 | 1.05e-03  | 1.21e-03 |
| tsrv  | -5.15e-02 | -5.55e-02 | -2.18e-01 | 8.50e-02 | -1.25e-01 | 3.21e-02 |
| tsr   | -2.69e-02 | -2.80e-02 | -1.55e-01 | 8.16e-02 | -8.35e-02 | 3.44e-02 |
| qsr   | -1.36e-04 | -1.23e-04 | -4.85e-04 | 4.44e-05 | -3.21e-04 | 4.09e-07 |
| usr   | 2.19e-01  | 2.02e-01  | 6.39e-03  | 7.54e-01 | 7.66e-02  | 4.21e-01 |
| psim  | 3.72e-01  | 4.46e-01  | -2.72e+01 | 6.29e+00 | -8.99e-01 | 1.66e+00 |
| psit  | 7.84e-01  | 8.27e-01  | -2.65e+01 | 8.01e+00 | -8.99e-01 | 2.63e+00 |
| psiq  | 7.84e-01  | 8.27e-01  | -2.65e+01 | 8.01e+00 | -8.99e-01 | 2.63e+00 |
| u10n  | 6.33e+00  | 6.08e+00  | 2.20e-01  | 1.79e+01 | 2.47e+00  | 1.12e+01 |
| t10n  | 1.79e+01  | 1.82e+01  | -2.76e+00 | 2.98e+01 | 2.83e+00  | 2.79e+01 |
| tv10n | 2.93e+02  | 2.93e+02  | 2.71e+02  | 3.08e+02 | 2.77e+02  | 3.04e+02 |
| q10n  | 1.07e-02  | 9.70e-03  | 5.33e-04  | 2.52e-02 | 3.59e-03  | 1.78e-02 |
| zo    | 9.00e-05  | 6.35e-05  | 2.65e-05  | 7.56e-04 | 2.95e-05  | 2.41e-04 |
| zot   | 6.04e-05  | 6.18e-05  | 1.33e-05  | 2.06e-04 | 4.08e-05  | 7.22e-05 |
| zoq   | 6.04e-05  | 6.18e-05  | 1.33e-05  | 2.06e-04 | 4.08e-05  | 7.22e-05 |
| urefs | 6.15e+00  | 5.90e+00  | 1.49e-02  | 1.77e+01 | 2.23e+00  | 1.11e+01 |
| trefs | 1.80e+01  | 1.84e+01  | -2.75e+00 | 2.98e+01 | 2.87e+00  | 2.80e+01 |
| qrefs | 1.10e-02  | 1.00e-02  | 7.66e-04  | 2.52e-02 | 3.66e-03  | 1.83e-02 |
| itera | 3.53e+00  | 3.00e+00  | 2.00e+00  | 9.00e+00 | 3.00e+00  | 5.00e+00 |
| dter  | 0.00e+00  | 0.00e+00  | 0.00e+00  | 0.00e+00 | 0.00e+00  | 0.00e+00 |
| dqer  | 0.00e+00  | 0.00e+00  | 0.00e+00  | 0.00e+00 | 0.00e+00  | 0.00e+00 |
| dtwl  | 3.00e-01  | 3.00e-01  | 3.00e-01  | 3.00e-01 | 3.00e-01  | 3.00e-01 |
| qair  | 1.09e-02  | 9.90e-03  | 7.43e-04  | 2.53e-02 | 3.64e-03  | 1.82e-02 |
| qsea  | 1.47e-02  | 1.39e-02  | 3.26e-03  | 2.61e-02 | 4.76e-03  | 2.46e-02 |
| Rl    | 3.70e+02  | 3.70e+02  | 3.70e+02  | 3.70e+02 | 3.70e+02  | 3.70e+02 |
| Rs    | 2.61e+02  | 2.33e+02  | 1.67e-02  | 9.71e+02 | 2.84e+01  | 5.37e+02 |
| Rnl   | 4.25e+01  | 4.50e+01  | -6.02e+01 | 1.06e+02 | -3.65e+01 | 9.96e+01 |
| ug    | 6.07e-01  | 6.91e-01  | 0.00e+00  | 1.31e+00 | 0.00e+00  | 1.01e+00 |
| Rib   | -1.02e-01 | -1.87e-02 | -6.03e+01 | 1.58e-01 | -1.89e-01 | 1.52e-02 |
| rh    | 7.89e+01  | 7.92e+01  | 1.05e+01  | 1.00e+02 | 5.85e+01  | 9.65e+01 |
-------------------------------------------------------------------------------

